"","Darkness-Road Lighted","Darkness-Road Not Lighted","Dawn","Daylight","Dusk","Unknown"
"Fog",1874,2036,474,6000,352,81
"Frozen Precip",332,831,174,1832,63,13
"No Adverse Condition",59484,67111,11591,329316,12168,1445
"Other",61,129,11,245,9,3
"Rain",13931,14199,2546,54798,3217,263
"Unknown",404,1364,461,832,31,11
